code,passport,button,tv state,unit,day,cs_start,cs_finish,see,display,Кол-во человек в семье 4+,Begin,End
258116,1209281,Д,выключен,0,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258116,1209281,Д,выключен,1,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258116,1209281,А,выключен,0,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258116,1209281,А,выключен,1,2022-02-07,1900-01-01 19:46:13,1900-01-01 19:47:07,нет регистрации,нет в комнате,4,2022-02-07 19:46:13,2022-02-07 19:47:07
258119,1209625,Б,выключен,0,2022-02-09,1900-01-01 18:01:34,1900-01-01 18:02:31,нет регистрации,нет в комнате,2,2022-02-09 18:01:34,2022-02-09 18:02:31
258119,1209625,Б,выключен,1,2022-02-09,1900-01-01 18:01:34,1900-01-01 18:02:31,нет регистрации,нет в комнате,2,2022-02-09 18:01:34,2022-02-09 18:02:31
258119,1209625,А,выключен,0,2022-02-09,1900-01-01 18:01:34,1900-01-01 18:02:31,нет регистрации,нет в комнате,2,2022-02-09 18:01:34,2022-02-09 18:02:31
258119,1209625,А,выключен,1,2022-02-09,1900-01-01 18:01:34,1900-01-01 18:02:31,нет регистрации,нет в комнате,2,2022-02-09 18:01:34,2022-02-09 18:02:31
258120,1209724,А,выключен,0,2022-02-07,1900-01-01 17:26:55,1900-01-01 17:27:14,нет регистрации,нет в комнате,2,2022-02-07 17:26:55,2022-02-07 17:27:14
258120,1209724,Б,выключен,0,2022-02-07,1900-01-01 17:26:55,1900-01-01 17:27:14,нет регистрации,нет в комнате,2,2022-02-07 17:26:55,2022-02-07 17:27:14
258121,1209774,Б,выключен,1,2022-02-07,1900-01-01 17:33:19,1900-01-01 17:36:38,нет регистрации,нет в комнате,3,2022-02-07 17:33:19,2022-02-07 17:36:38
258121,1209774,Б,выключен,0,2022-02-07,1900-01-01 17:33:19,1900-01-01 17:36:38,нет регистрации,нет в комнате,3,2022-02-07 17:33:19,2022-02-07 17:36:38
258121,1209774,В,выключен,1,2022-02-07,1900-01-01 17:33:19,1900-01-01 17:36:38,нет регистрации,нет в комнате,3,2022-02-07 17:33:19,2022-02-07 17:36:38
258121,1209774,В,выключен,0,2022-02-07,1900-01-01 17:33:19,1900-01-01 17:36:38,нет регистрации,нет в комнате,3,2022-02-07 17:33:19,2022-02-07 17:36:38
258121,1209774,Г,выключен,1,2022-02-07,1900-01-01 17:33:19,1900-01-01 17:36:38,нет регистрации,нет в комнате,3,2022-02-07 17:33:19,2022-02-07 17:36:38
258121,1209774,Г,выключен,0,2022-02-07,1900-01-01 17:33:19,1900-01-01 17:36:38,нет регистрации,нет в комнате,3,2022-02-07 17:33:19,2022-02-07 17:36:38
258122,1209804,А,включён,0,2022-02-07,1900-01-01 17:40:40,1900-01-01 17:42:43,есть регистрация,в комнате,1,2022-02-07 17:40:40,2022-02-07 17:42:43
258122,1209804,А,выключен,1,2022-02-07,1900-01-01 17:40:40,1900-01-01 17:42:43,нет регистрации,нет в комнате,1,2022-02-07 17:40:40,2022-02-07 17:42:43
258124,1210425,А,включён,0,2022-02-07,1900-01-01 17:57:43,1900-01-01 18:07:25,есть регистрация,в комнате,2,2022-02-07 17:57:43,2022-02-07 18:07:25
258124,1210425,А,выключен,1,2022-02-07,1900-01-01 17:57:43,1900-01-01 18:07:25,нет регистрации,нет в комнате,2,2022-02-07 17:57:43,2022-02-07 18:07:25
258124,1210425,А,выключен,2,2022-02-07,1900-01-01 17:57:43,1900-01-01 18:07:25,нет регистрации,нет в комнате,2,2022-02-07 17:57:43,2022-02-07 18:07:25
258124,1210425,Б,включён,0,2022-02-07,1900-01-01 17:57:43,1900-01-01 18:07:25,нет регистрации,в комнате,2,2022-02-07 17:57:43,2022-02-07 18:07:25
258124,1210425,Б,выключен,1,2022-02-07,1900-01-01 17:57:43,1900-01-01 18:07:25,нет регистрации,нет в комнате,2,2022-02-07 17:57:43,2022-02-07 18:07:25
258124,1210425,Б,выключен,2,2022-02-07,1900-01-01 17:57:43,1900-01-01 18:07:25,нет регистрации,нет в комнате,2,2022-02-07 17:57:43,2022-02-07 18:07:25
258128,1210930,А,включён,1,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,есть регистрация,в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,А,выключен,0,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,нет в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,Б,включён,1,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,Б,выключен,0,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,нет в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,В,включён,1,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,нет в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,В,выключен,0,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,нет в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,Г,включён,1,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,нет в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258128,1210930,Г,выключен,0,2022-02-07,1900-01-01 18:52:47,1900-01-01 18:54:12,нет регистрации,нет в комнате,4,2022-02-07 18:52:47,2022-02-07 18:54:12
258130,1211011,А,включён,0,2022-02-07,1900-01-01 19:01:00,1900-01-01 19:03:10,есть регистрация,в комнате,2,2022-02-07 19:01:00,2022-02-07 19:03:10
258130,1211011,А,выключен,1,2022-02-07,1900-01-01 19:01:00,1900-01-01 19:03:10,нет регистрации,нет в комнате,2,2022-02-07 19:01:00,2022-02-07 19:03:10
258130,1211011,Б,включён,0,2022-02-07,1900-01-01 19:01:00,1900-01-01 19:03:10,нет регистрации,нет в комнате,2,2022-02-07 19:01:00,2022-02-07 19:03:10
258130,1211011,Б,выключен,1,2022-02-07,1900-01-01 19:01:00,1900-01-01 19:03:10,нет регистрации,нет в комнате,2,2022-02-07 19:01:00,2022-02-07 19:03:10
258131,1211013,А,включён,0,2022-02-07,1900-01-01 19:07:48,1900-01-01 19:09:01,есть регистрация,в комнате,2,2022-02-07 19:07:48,2022-02-07 19:09:01
258131,1211013,А,выключен,2,2022-02-07,1900-01-01 19:07:48,1900-01-01 19:09:01,нет регистрации,нет в комнате,2,2022-02-07 19:07:48,2022-02-07 19:09:01
258131,1211013,А,выключен,1,2022-02-07,1900-01-01 19:07:48,1900-01-01 19:09:01,нет регистрации,нет в комнате,2,2022-02-07 19:07:48,2022-02-07 19:09:01
258131,1211013,Б,включён,0,2022-02-07,1900-01-01 19:07:48,1900-01-01 19:09:01,нет регистрации,нет в комнате,2,2022-02-07 19:07:48,2022-02-07 19:09:01
258131,1211013,Б,выключен,2,2022-02-07,1900-01-01 19:07:48,1900-01-01 19:09:01,нет регистрации,нет в комнате,2,2022-02-07 19:07:48,2022-02-07 19:09:01
258131,1211013,Б,выключен,1,2022-02-07,1900-01-01 19:07:48,1900-01-01 19:09:01,нет регистрации,нет в комнате,2,2022-02-07 19:07:48,2022-02-07 19:09:01
258136,1211621,Б,включён,0,2022-02-08,1900-01-01 20:59:03,1900-01-01 21:00:16,нет регистрации,нет в комнате,2,2022-02-08 20:59:03,2022-02-08 21:00:16
258136,1211621,А,включён,0,2022-02-08,1900-01-01 20:59:03,1900-01-01 21:00:16,есть регистрация,в комнате,2,2022-02-08 20:59:03,2022-02-08 21:00:16
258137,1211985,А,выключен,0,2022-02-07,1900-01-01 20:13:31,1900-01-01 20:15:58,нет регистрации,нет в комнате,3,2022-02-07 20:13:31,2022-02-07 20:15:58
258137,1211985,А,выключен,1,2022-02-07,1900-01-01 20:13:31,1900-01-01 20:15:58,нет регистрации,нет в комнате,3,2022-02-07 20:13:31,2022-02-07 20:15:58
258137,1211985,Б,выключен,0,2022-02-07,1900-01-01 20:13:31,1900-01-01 20:15:58,нет регистрации,нет в комнате,3,2022-02-07 20:13:31,2022-02-07 20:15:58
258137,1211985,Б,выключен,1,2022-02-07,1900-01-01 20:13:31,1900-01-01 20:15:58,нет регистрации,нет в комнате,3,2022-02-07 20:13:31,2022-02-07 20:15:58
258137,1211985,В,выключен,0,2022-02-07,1900-01-01 20:13:31,1900-01-01 20:15:58,нет регистрации,нет в комнате,3,2022-02-07 20:13:31,2022-02-07 20:15:58
258137,1211985,В,выключен,1,2022-02-07,1900-01-01 20:13:31,1900-01-01 20:15:58,нет регистрации,нет в комнате,3,2022-02-07 20:13:31,2022-02-07 20:15:58
258141,1212853,А,выключен,0,2022-02-10,1900-01-01 16:29:50,1900-01-01 16:30:30,нет регистрации,нет в комнате,2,2022-02-10 16:29:50,2022-02-10 16:30:30
258141,1212853,Б,выключен,0,2022-02-10,1900-01-01 16:29:50,1900-01-01 16:30:30,нет регистрации,нет в комнате,2,2022-02-10 16:29:50,2022-02-10 16:30:30
258506,1203959,А,выключен,0,2022-02-14,1900-01-01 16:16:54,1900-01-01 16:18:50,нет регистрации,нет в комнате,1,2022-02-14 16:16:54,2022-02-14 16:18:50
258507,1204875,А,выключен,0,2022-02-14,1900-01-01 20:11:05,1900-01-01 20:14:32,нет регистрации,нет в комнате,3,2022-02-14 20:11:05,2022-02-14 20:14:32
258507,1204875,В,выключен,0,2022-02-14,1900-01-01 20:11:05,1900-01-01 20:14:32,нет регистрации,нет в комнате,3,2022-02-14 20:11:05,2022-02-14 20:14:32
258507,1204875,Г,выключен,0,2022-02-14,1900-01-01 20:11:05,1900-01-01 20:14:32,нет регистрации,нет в комнате,3,2022-02-14 20:11:05,2022-02-14 20:14:32
258508,1204932,А,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258508,1204932,Б,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258508,1204932,В,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258508,1204932,Г,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258508,1204932,Д,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258508,1204932,Е,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258508,1204932,З,выключен,0,2022-02-14,1900-01-01 16:35:44,1900-01-01 16:38:09,нет регистрации,нет в комнате,7,2022-02-14 16:35:44,2022-02-14 16:38:09
258509,1205412,А,включён,0,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,есть регистрация,в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,А,выключен,2,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,А,выключен,1,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,Д,включён,0,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,Д,выключен,2,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,Д,выключен,1,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,Б,включён,0,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,Б,выключен,2,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258509,1205412,Б,выключен,1,2022-02-16,1900-01-01 17:49:40,1900-01-01 17:53:02,нет регистрации,нет в комнате,3,2022-02-16 17:49:40,2022-02-16 17:53:02
258511,1205716,А,включён,0,2022-02-14,1900-01-01 17:05:12,1900-01-01 17:07:54,есть регистрация,в комнате,1,2022-02-14 17:05:12,2022-02-14 17:07:54
258512,1205993,А,выключен,0,2022-02-14,1900-01-01 17:33:26,1900-01-01 17:35:35,нет регистрации,нет в комнате,3,2022-02-14 17:33:26,2022-02-14 17:35:35
258512,1205993,А,включён,1,2022-02-14,1900-01-01 17:33:26,1900-01-01 17:35:35,нет регистрации,нет в комнате,3,2022-02-14 17:33:26,2022-02-14 17:35:35
258512,1205993,Б,выключен,0,2022-02-14,1900-01-01 17:33:26,1900-01-01 17:35:35,нет регистрации,нет в комнате,3,2022-02-14 17:33:26,2022-02-14 17:35:35
258512,1205993,Б,включён,1,2022-02-14,1900-01-01 17:33:26,1900-01-01 17:35:35,нет регистрации,нет в комнате,3,2022-02-14 17:33:26,2022-02-14 17:35:35
258512,1205993,Д,выключен,0,2022-02-14,1900-01-01 17:33:26,1900-01-01 17:35:35,нет регистрации,нет в комнате,3,2022-02-14 17:33:26,2022-02-14 17:35:35
258512,1205993,Д,включён,1,2022-02-14,1900-01-01 17:33:26,1900-01-01 17:35:35,есть регистрация,в комнате,3,2022-02-14 17:33:26,2022-02-14 17:35:35
258513,1206092,Б,выключен,0,2022-02-14,1900-01-01 17:50:31,1900-01-01 17:52:23,нет регистрации,нет в комнате,2,2022-02-14 17:50:31,2022-02-14 17:52:23
258514,1206107,А,включён,0,2022-02-14,1900-01-01 17:56:04,1900-01-01 17:58:04,нет регистрации,нет в комнате,3,2022-02-14 17:56:04,2022-02-14 17:58:04
258514,1206107,Б,включён,0,2022-02-14,1900-01-01 17:56:04,1900-01-01 17:58:04,нет регистрации,нет в комнате,3,2022-02-14 17:56:04,2022-02-14 17:58:04
258514,1206107,В,включён,0,2022-02-14,1900-01-01 17:56:04,1900-01-01 17:58:04,есть регистрация,в комнате,3,2022-02-14 17:56:04,2022-02-14 17:58:04
258515,1206245,А,выключен,1,2022-02-14,1900-01-01 18:23:25,1900-01-01 18:27:08,нет регистрации,нет в комнате,3,2022-02-14 18:23:25,2022-02-14 18:27:08
258515,1206245,А,включён,0,2022-02-14,1900-01-01 18:23:25,1900-01-01 18:27:08,нет регистрации,нет в комнате,3,2022-02-14 18:23:25,2022-02-14 18:27:08
258515,1206245,Б,выключен,1,2022-02-14,1900-01-01 18:23:25,1900-01-01 18:27:08,нет регистрации,нет в комнате,3,2022-02-14 18:23:25,2022-02-14 18:27:08
258515,1206245,Б,включён,0,2022-02-14,1900-01-01 18:23:25,1900-01-01 18:27:08,нет регистрации,нет в комнате,3,2022-02-14 18:23:25,2022-02-14 18:27:08
258515,1206245,В,выключен,1,2022-02-14,1900-01-01 18:23:25,1900-01-01 18:27:08,нет регистрации,нет в комнате,3,2022-02-14 18:23:25,2022-02-14 18:27:08
258515,1206245,В,включён,0,2022-02-14,1900-01-01 18:23:25,1900-01-01 18:27:08,есть регистрация,в комнате,3,2022-02-14 18:23:25,2022-02-14 18:27:08
258520,1208602,Б,выключен,2,2022-02-14,1900-01-01 19:33:49,1900-01-01 19:37:33,нет регистрации,нет в комнате,3,2022-02-14 19:33:49,2022-02-14 19:37:33
258520,1208602,Б,выключен,1,2022-02-14,1900-01-01 19:33:49,1900-01-01 19:37:33,нет регистрации,нет в комнате,3,2022-02-14 19:33:49,2022-02-14 19:37:33
258520,1208602,В,выключен,2,2022-02-14,1900-01-01 19:33:49,1900-01-01 19:37:33,нет регистрации,нет в комнате,3,2022-02-14 19:33:49,2022-02-14 19:37:33
258520,1208602,В,выключен,1,2022-02-14,1900-01-01 19:33:49,1900-01-01 19:37:33,нет регистрации,нет в комнате,3,2022-02-14 19:33:49,2022-02-14 19:37:33
258520,1208602,Г,выключен,2,2022-02-14,1900-01-01 19:33:49,1900-01-01 19:37:33,нет регистрации,нет в комнате,3,2022-02-14 19:33:49,2022-02-14 19:37:33
258520,1208602,Г,выключен,1,2022-02-14,1900-01-01 19:33:49,1900-01-01 19:37:33,нет регистрации,нет в комнате,3,2022-02-14 19:33:49,2022-02-14 19:37:33
258521,1208646,А,выключен,0,2022-02-14,1900-01-01 19:43:33,1900-01-01 19:45:31,нет регистрации,нет в комнате,2,2022-02-14 19:43:33,2022-02-14 19:45:31
258521,1208646,А,выключен,1,2022-02-14,1900-01-01 19:43:33,1900-01-01 19:45:31,нет регистрации,нет в комнате,2,2022-02-14 19:43:33,2022-02-14 19:45:31
258521,1208646,Б,выключен,0,2022-02-14,1900-01-01 19:43:33,1900-01-01 19:45:31,нет регистрации,нет в комнате,2,2022-02-14 19:43:33,2022-02-14 19:45:31
258521,1208646,Б,выключен,1,2022-02-14,1900-01-01 19:43:33,1900-01-01 19:45:31,нет регистрации,нет в комнате,2,2022-02-14 19:43:33,2022-02-14 19:45:31
258522,1209025,Б,выключен,0,2022-02-14,1900-01-01 19:56:22,1900-01-01 19:57:52,нет регистрации,нет в комнате,2,2022-02-14 19:56:22,2022-02-14 19:57:52
258522,1209025,Б,включён,1,2022-02-14,1900-01-01 19:56:22,1900-01-01 19:57:52,есть регистрация,в комнате,2,2022-02-14 19:56:22,2022-02-14 19:57:52
258522,1209025,В,выключен,0,2022-02-14,1900-01-01 19:56:22,1900-01-01 19:57:52,нет регистрации,нет в комнате,2,2022-02-14 19:56:22,2022-02-14 19:57:52
258522,1209025,В,включён,1,2022-02-14,1900-01-01 19:56:22,1900-01-01 19:57:52,нет регистрации,нет в комнате,2,2022-02-14 19:56:22,2022-02-14 19:57:52
258523,1209268,А,выключен,0,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,А,выключен,1,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,Б,выключен,0,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,Б,выключен,1,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,В,выключен,0,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,В,выключен,1,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,Г,выключен,0,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258523,1209268,Г,выключен,1,2022-02-14,1900-01-01 20:29:40,1900-01-01 20:32:01,нет регистрации,нет в комнате,4,2022-02-14 20:29:40,2022-02-14 20:32:01
258525,1209331,Е,выключен,0,2022-02-14,1900-01-01 20:40:47,1900-01-01 20:43:15,нет регистрации,нет в комнате,2,2022-02-14 20:40:47,2022-02-14 20:43:15
258525,1209331,А,выключен,0,2022-02-14,1900-01-01 20:40:47,1900-01-01 20:43:15,нет регистрации,нет в комнате,2,2022-02-14 20:40:47,2022-02-14 20:43:15
258528,1209909,А,выключен,1,2022-02-14,1900-01-01 15:12:39,1900-01-01 15:14:12,нет регистрации,нет в комнате,2,2022-02-14 15:12:39,2022-02-14 15:14:12
258528,1209909,А,включён,2,2022-02-14,1900-01-01 15:12:39,1900-01-01 15:14:12,есть регистрация,в комнате,2,2022-02-14 15:12:39,2022-02-14 15:14:12
258528,1209909,А,выключен,0,2022-02-14,1900-01-01 15:12:39,1900-01-01 15:14:12,нет регистрации,нет в комнате,2,2022-02-14 15:12:39,2022-02-14 15:14:12
258528,1209909,Б,выключен,1,2022-02-14,1900-01-01 15:12:39,1900-01-01 15:14:12,нет регистрации,нет в комнате,2,2022-02-14 15:12:39,2022-02-14 15:14:12
258528,1209909,Б,включён,2,2022-02-14,1900-01-01 15:12:39,1900-01-01 15:14:12,нет регистрации,нет в комнате,2,2022-02-14 15:12:39,2022-02-14 15:14:12
258528,1209909,Б,выключен,0,2022-02-14,1900-01-01 15:12:39,1900-01-01 15:14:12,нет регистрации,нет в комнате,2,2022-02-14 15:12:39,2022-02-14 15:14:12
258529,1210072,А,включён,0,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,А,выключен,2,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,В,включён,0,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,В,выключен,2,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,Г,включён,0,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,есть регистрация,в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,Г,выключен,2,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,Б,включён,0,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258529,1210072,Б,выключен,2,2022-02-14,1900-01-01 20:41:35,1900-01-01 20:43:49,нет регистрации,нет в комнате,4,2022-02-14 20:41:35,2022-02-14 20:43:49
258533,1210794,А,выключен,0,2022-02-15,1900-01-01 11:38:46,1900-01-01 11:41:38,нет регистрации,нет в комнате,4,2022-02-15 11:38:46,2022-02-15 11:41:38
258533,1210794,А,включён,1,2022-02-15,1900-01-01 11:38:46,1900-01-01 11:41:38,есть регистрация,в комнате,4,2022-02-15 11:38:46,2022-02-15 11:41:38
258533,1210794,А,выключен,2,2022-02-15,1900-01-01 11:38:46,1900-01-01 11:41:38,нет регистрации,нет в комнате,4,2022-02-15 11:38:46,2022-02-15 11:41:38
258533,1210794,Б,выключен,0,2022-02-15,1900-01-01 11:38:46,1900-01-01 11:41:38,нет регистрации,нет в комнате,4,2022-02-15 11:38:46,2022-02-15 11:41:38
